"document","year","state"
"0_1_pepl_text.pdf","2007","BaWue"
"01__MaP_7524_341_Text_Endfassung_Internet.pdf","2019","BaWue"
"01__MaP_8223_311_Textteil_Endfassung_Sept2020.pdf","2020","BaWue"
"01_8122342_8022401_pfrunger_ried_textteil.pdf","2020","BaWue"
"01_MaP_7520_311_Text_Fotodokumentation_min.pdf","2018","BaWue"
"01_MaP_7521-341_Textteil_Endfassung.pdf","2019","BaWue"
"01_textfassung.pdf","2015","BaWue"
"010_7427-341_7327-441_MaP_Text_min.pdf","2010","BaWue"
"02_8025-341_textteil.pdf","2019","BaWue"
"02_text_alb_zum_hochrhein.pdf","2016","BaWue"
"02_text_managementplan.pdf","2015","BaWue"
"02_text_managementplan_2.pdf","2015","BaWue"
"03_text_ohne_fotodoc.pdf","2015","BaWue"
"1_MaP_Hochrhein_Text_Endfassung_www.pdf","2010","BaWue"
"2_1_pepl_6518_341_text_endfassung_online.pdf","2009","BaWue"
"2_11_pepl_6622_341_text_endfassung_online.pdf","2007","BaWue"
"2_text_map_6825341_arge_ffh_management.pdf","2010","BaWue"
"6222341_02_text_managementplan.pdf","2011","BaWue"
"6223311_02_text_map_unteres_taubertal_endfassung.pdf","2020","BaWue"
"6421311_01_text_Managementplan.pdf","2018","BaWue"
"6423341_02_nordwestliches_tauberland.pdf","2017","BaWue"
"6424341_02_text_nordoestliches_tauberland.pdf","2020","BaWue"
"6425-441_02_text_managementplan.pdf","2011","BaWue"
"6517341_02_text_managementplan_8_06_2010.pdf","2010","BaWue"
"6518-311_02_text_managementplan.pdf","2020","BaWue"
"6519341_02_text_managementplan.pdf","2017","BaWue"
"6520341_02_text_managementplan.pdf","2015","BaWue"
"6521311_02_text_managementplan_20190826.pdf","2019","BaWue"
"6522311_02_Seckachtal_und_Schefflenzer_Wald.pdf","2017","BaWue"
"6523341_02_Text_Westlicher_Taubergrund.pdf","2020","BaWue"
"6617341_02_text_pflege-_und_entwicklungsplan.pdf","2010","BaWue"
"6619341_01_text_managementplan.pdf","2016","BaWue"
"6620342_pepl_2_text.pdf","2008","BaWue"
"6623341_02_text_arge_ffh_management.pdf","2011","BaWue"
"6624401_02_Text_Managementplan.pdf","2015","BaWue"
"6625341_02_text_map_taubergrund_weikersheim_niederstetten.pdf","2013","BaWue"
"6717341_02_text.pdf","2012","BaWue"
"6718311_02_text_managementplan.pdf","2020","BaWue"
"6721-341_02_text_managementplan.pdf","2015","BaWue"
"6724341_02_text_managementplan.pdf","2012","BaWue"
"6726-441_02_text_managementplan.pdf","2011","BaWue"
"6726341_02_textteil_map_nordoestliche_hohenloher_ebene.pdf","2012","BaWue"
"6820311_02_text_managementplan.pdf","2015","BaWue"
"6823441_text_managementplan.pdf","2013","BaWue"
"6916341_02_text_map_alter_flugplatz_karlsruhe.pdf","2015","BaWue"
"6917311_02_text_managementplan.pdf","2018","BaWue"
"6918311_02_text_managementplan.pdf","2014","BaWue"
"6919342_441_02_textteil.pdf","2010","BaWue"
"6924-342_Textteil_02.pdf","2011","BaWue"
"6926_341_text_managementplan_end.pdf","2012","BaWue"
"7015341_02_text_managementplan.pdf","2020","BaWue"
"7016341_02_text_managementplan.pdf","2013","BaWue"
"7016343_02_text_map_oberwald_und_alb.pdf","2014","BaWue"
"7017342_02_text_managementplan.pdf","2011","BaWue"
"7018342_02_text_managementplan.pdf","2020","BaWue"
"7021_342_02_textteil.pdf","2016","BaWue"
"7021341_01_Text_Managementplan.pdf","2016","BaWue"
"7024341_02_text_managementplan.pdf","2014","BaWue"
"7025341_00_Textteil_Endfassung.pdf","2012","BaWue"
"7026341_02_textteil.pdf","2014","BaWue"
"7114311_02_text_managementplan.pdf","2020","BaWue"
"7116341_02_text_managementplan.pdf","2013","BaWue"
"7117341_02_text_managementplan.pdf","2016","BaWue"
"7119341_02_text_map_strohgaeu_und_unteres_enztal.pdf","2013","BaWue"
"7121_441_MaP_Max-Eyth-See.pdf","2019","BaWue"
"7121341_7121442_02_text_managementplan.pdf","2020","BaWue"
"7123341_02_Text_Welzheimer_Wald_Endfassung.pdf","2019","BaWue"
"7125341_02_text_managementplan.pdf","2010","BaWue"
"7127-341-01Text-MaP-16_12_10_Beidseitig.pdf","2011","BaWue"
"7128341_02_text_managementplan.pdf","2010","BaWue"
"7215-341_Mitteilungstext_neu.pdf","2012","BaWue"
"7216341_02_text_managementplan.pdf","2020","BaWue"
"7217341_02_text_managementplan.pdf","2016","BaWue"
"7218341_02_text_managementplan.pdf","2020","BaWue"
"7220311_02_text_managementplan.pdf","2019","BaWue"
"7222341_01_text_managementplan.pdf","2018","BaWue"
"7226-311_Heiden_und_Waelder_zwischen_Aalen_und_Heidenheim_02_text_managementplan.pdf","2013","BaWue"
"7226441_02_text_managementplan.pdf","2015","BaWue"
"7315311_02_text.pdf","2020","BaWue"
"7317341_02_text_managementplan.pdf","2020","BaWue"
"7321341_02_text_managementplan.pdf","2017","BaWue"
"7322311_01_text_endfassung.pdf","2019","BaWue"
"7324341_02_text_managementplan.pdf","2019","BaWue"
"7327341_02_text_managementplan.pdf","2014","BaWue"
"7415311_02_text_managementplan.pdf","2018","BaWue"
"7419341_02_text_map_spitzberg.pdf","2012","BaWue"
"7422311_Textteil-internet.pdf","2016","BaWue"
"7423341_02_text_managementplan.pdf","2019","BaWue"
"7423342_02_text_managementplan.pdf","2019","BaWue"
"7425311_7425401_02_text_managementplan.pdf","2015","BaWue"
"7426341_01_text_managementplan.pdf","2013","BaWue"
"7512341_02_text_managementplan.pdf","2020","BaWue"
"7513341_02_text_map_schutter.pdf","2016","BaWue"
"7515341_02_textfassung.pdf","2011","BaWue"
"7516341_02_text_map.pdf","2010","BaWue"
"7517341_02_text_managementplan.pdf","2016","BaWue"
"7519341_02_text_map_neckar_seitentaeler_rottenburg.pdf","2012","BaWue"
"7519342_02_text_managementplan.pdf","2012","BaWue"
"7522341_02_text_managementplan.pdf","2017","BaWue"
"7523311_muensingen_02_text_managementplan.pdf","2015","BaWue"
"7527341_7527441_02_text_managementplan.pdf","2015","BaWue"
"7617-341_text_endfassung.pdf","2013","BaWue"
"7619311_02_text_managementplan.pdf","2016","BaWue"
"7620311_02_text_endfassung.pdf","2014","BaWue"
"7620341_02_text_managementplan.pdf","2011","BaWue"
"7621341_02_text_managementplan.pdf","2011","BaWue"
"7622341_02_text_managementplan.pdf","2020","BaWue"
"7623341_02_textteil.pdf","2019","BaWue"
"7624402_02_text_managementplan_endfassung.pdf","2020","BaWue"
"7625-311_02_text_managementplan.pdf","2015","BaWue"
"7712341_taubergiessen_text_managementplan.pdf","2019","BaWue"
"7713341_02_text.pdf","2015","BaWue"
"7716341_managementplan_text_03.pdf","2020","BaWue"
"7718341_02_text.pdf","2011","BaWue"
"7719341_01_text_managementplan.pdf","2018","BaWue"
"7722311_tautschbuch_02_text_managementplan.pdf","2020","BaWue"
"7813-341_02_text_managementplan.pdf","2018","BaWue"
"7819341_01_text_managementplan.pdf","2018","BaWue"
"7819342_02_text_managementplan.pdf","2014","BaWue"
"7820341_01_text_managementplan.pdf","2015","BaWue"
"7820342_02_text_managementplan.pdf","2015","BaWue"
"7821341_02_text_managementplan.pdf","2017","BaWue"
"7823341_02_text_managementplan.pdf","2017","BaWue"
"7824341_01_text_map_waelder_bei_biberach.pdf","2013","BaWue"
"7825311_02_text_managementplan.pdf","2016","BaWue"
"7911341_7912442_02_text_managementplan.pdf","2021","BaWue"
"7912311_02_7912441_02_text_managementplan.pdf","2018","BaWue"
"7915341_text.pdf","2017","BaWue"
"7916311_02_eschachtal_text_managementplan.pdf","2017","BaWue"
"7916311_8117341_02_maptext.pdf","2020","BaWue"
"7920342_02_text_obere_donau_2009.pdf","2009","BaWue"
"7922342_02_text_fotodokumentation_map.pdf","2017","BaWue"
"8012342_02_text_managementplan.pdf","2019","BaWue"
"8020341_text_endfassung.pdf","2018","BaWue"
"8021311_02_text_managementplan.pdf","2016","BaWue"
"8023341_8123441_02_text_managementplan.pdf","2020","BaWue"
"8024341_02_schussenried_text_managementplan.pdf","2016","BaWue"
"8111341_rheinebene_map_text.pdf","2020","BaWue"
"8115341_text_managementplan.pdf","2020","BaWue"
"8115342_02_text_managementplan.pdf","2017","BaWue"
"8119341_02_text_managementplan.pdf","2017","BaWue"
"8124-341_02_text_map.pdf","2020","BaWue"
"8126311_02_text_managementplan.pdf","2015","BaWue"
"8211341_02_text_managementplan.pdf","2020","BaWue"
"8213311_02_text_gletscherkessel.pdf","2014","BaWue"
"8214341_02_text_managementplan_kl.pdf","2010","BaWue"
"8219341_02_text_map_mettnau.pdf","2019","BaWue"
"8220-342_01_textteil.pdf","2018","BaWue"
"8221341_02_text_managementplan.pdf","2011","BaWue"
"8221342_02_text_managementplan.pdf","2011","BaWue"
"8221401_02_text_managementplan.pdf","2011","BaWue"
"8222-341_02_text.pdf","2020","BaWue"
"8222342_01_text_managementplan.pdf","2017","BaWue"
"8224-311_02_text_managementplan.pdf","2020","BaWue"
"8226341_02_text_managementplan.pdf","2011","BaWue"
"8226441_8326341_02_text_managementplan.pdf","2014","BaWue"
"8311_342_MaP_MarkgrRh_Endfassung.pdf","2013","BaWue"
"8311341_01_MaP_TuellingerBerg_Textteil.pdf","2011","BaWue"
"8312311_textteil.pdf","2020","BaWue"
"8314342_text_managementplan.pdf","2014","BaWue"
"8319341_03_text.pdf","2020","BaWue"
"8323311_01_text_managementplan.pdf","2017","BaWue"
"8324342_8324441_01_text_managementplan.pdf","2020","BaWue"
"8324343_01_text_managementplan.pdf","2020","BaWue"
"8325341_8325441_02_text_managementplan.pdf","2020","BaWue"
"8411341_map_text.pdf","2012","BaWue"
"8423341_02_text_managementplan.pdf","2015","BaWue"
"Be_MaP_Kleinkinzig_7616_341.pdf","2013","BaWue"
"Endfassung_MaP_7118-341_Würm-Nagold-Pforte.pdf","2020","BaWue"
"federsee_01_text_managementplan.pdf","2018","BaWue"
"hegaualb_3_text_managementplan.pdf","2015","BaWue"
"jestetten_03_text_managementplan_www.pdf","2010","BaWue"
"kaltenbronn_02_text.pdf","2019","BaWue"
"kandelwald_02_text_managementplan_web.pdf","2020","BaWue"
"Managementplan.pdf","2017","BaWue"
"MaP Bruch Buehl_Baden-Baden_2013_06_12.pdf","2013","BaWue"
"MAP Hornberg_Endfassung 10-9-2012-Internet.pdf","2012","BaWue"
"MaP_7313341_WestlHanauerLand_Endfassung_190529.pdf","2019","BaWue"
"MaP_Bodanrueck_Endfassung.pdf","2014","BaWue"
"MaP_Gengenbach_Textteil_Endfassung_Internet.pdf","2009","BaWue"
"MaP_Hochschwarzwald_Hinterzarten_ENDFASSUNG_klein.pdf","2020","BaWue"
"MaP_Oestl_Hanauer_Land_Endfassung_www.pdf","2013","BaWue"
"Map_Oppenau_2009_11_15.pdf","2010","BaWue"
"MaP_Text.pdf","2014","BaWue"
"PEPL-Rohrhardsberg-Textband.pdf","2008","BaWue"
"PEPL Creglingen Textteil.pdf","2007","BaWue"
"pepl_klettgauruecken_endfassung.pdf","2008","BaWue"
"pepl_neckartal_endfassung_ohne_bilder.pdf","2007","BaWue"
"pepl_rheinniederung.pdf","2010","BaWue"
"PEPL_Rotachtal_Text_Endfassung_Nov07ohneBilderc.pdf","2008","BaWue"
"pepl_schau_endfassung.pdf","2008","BaWue"
"rheinniederung_breisach_sasbach_03_textteil_www.pdf","2016","BaWue"
"schoenbuch_02_text_managementplan.pdf","2015","BaWue"
"Text-FFH-Gebiet6824-341_Hauptteil(Endfassung).pdf","2010","BaWue"
"Text-FFH-Gebiet6924-341_endfassung_08032012_.pdf","2012","BaWue"
"text_managementplan.pdf","2016","BaWue"
"Textfassung des Managementplans.pdf","2014","BaWue"
