"document","year","state"
"246A_MAP_Buch_V7_2019-01-12.pdf","2020","Berlin"
"A2-Wa_SzP_T_Teilbericht-Schlosspark-Buch_final.pdf","2019","Berlin"
"A2-Wa_SzP_T_Teilbericht-Spandauer-Forst_final.pdf","2019","Berlin"
"A4-Fl_My_T_Endbericht_MaP_FM_Fort Hahneberg_A_181220.pdf","2019","Berlin"
"A4-Fl_My_T_Endbericht_MaP_FM_WW_Friedrichshagen_A_181220.pdf","2019","Berlin"
"A4-Fl_My_T_Endbericht_MaP_FM_WW_Tegel_A_181220.pdf","2019","Berlin"
"A4-Fl_My_T_Endbericht_MaP_FM_Zitadelle_Spandau_A_181220.pdf","2019","Berlin"
"Endbericht-_HolzbewoKaefer_SpandauerForst.pdf","2018","Berlin"
"MaP_2014_Baumberge.pdf","2016","Berlin"
"MaP_FalkenbergerRieselfelder.pdf","2017","Berlin"
"MaP_FlieﬂwieseRuhleben_Schanzenwald.pdf","2008","Berlin"
"MaP_KalktuffgelTeglFlieﬂ.pdf","2018","Berlin"
"MaP_NSG_TeglFlieﬂ.pdf","2010","Berlin"
"MaP_Pfaueninsel.pdf","2016","Berlin"
"MaP_SpandauerForst_Gr¸nland.pdf","2005","Berlin"
"PEP_FortHahneberg.pdf","2014","Berlin"
"Schlosspark_Buch_Eremit_2015_Abschlussbericht.pdf","2015","Berlin"
