"document","year","state"
"Biesenthaler_Becken_Finowfliess_v.pdf","2018","Brandenburg"
"Briesetal-v.pdf","2018","Brandenburg"
"Buchenwaelder_am_Liepnitzsee.pdf","2018","Brandenburg"
"FFH-MP-015-293-728.pdf","2013","Brandenburg"
"FFH-MP-016-017-291-582.pdf","2011","Brandenburg"
"FFH-MP-022.pdf","2019","Brandenburg"
"FFH-MP-025.pdf","2015","Brandenburg"
"FFH-MP-027.pdf","2013","Brandenburg"
"FFH-MP-031.pdf","2019","Brandenburg"
"FFH-MP-032.pdf","2019","Brandenburg"
"FFH-MP-036.pdf","2015","Brandenburg"
"FFH-MP-040.pdf","2015","Brandenburg"
"FFH-MP-042.pdf","2014","Brandenburg"
"FFH-MP-044.pdf","2019","Brandenburg"
"FFH-MP-050.pdf","2019","Brandenburg"
"FFH-MP-052-Waldteil.pdf","2016","Brandenburg"
"FFH-MP-054.pdf","2020","Brandenburg"
"FFH-MP-059.pdf","2015","Brandenburg"
"FFH-MP-064-Waldteil.pdf","2016","Brandenburg"
"FFH-MP-069.pdf","2018","Brandenburg"
"FFH-MP-077.pdf","2019","Brandenburg"
"FFH-MP-078.pdf","2020","Brandenburg"
"FFH-MP-085.pdf","2019","Brandenburg"
"FFH-MP-089-612-173.pdf","2012","Brandenburg"
"FFH-MP-090.pdf","2019","Brandenburg"
"FFH-MP-091.pdf","2019","Brandenburg"
"FFH-MP-102.pdf","2014","Brandenburg"
"FFH-MP-104-340.pdf","2017","Brandenburg"
"FFH-MP-106-325.pdf","2017","Brandenburg"
"FFH-MP-108-110-350.pdf","2017","Brandenburg"
"FFH-MP-109-720.pdf","2017","Brandenburg"
"FFH-MP-121.pdf","2019","Brandenburg"
"FFH-MP-122.pdf","2019","Brandenburg"
"FFH-MP-124.pdf","2019","Brandenburg"
"FFH-MP-161.pdf","2015","Brandenburg"
"FFH-MP-236.pdf","2020","Brandenburg"
"FFH-MP-257-679.pdf","2015","Brandenburg"
"FFH-MP-260.pdf","2019","Brandenburg"
"FFH-MP-262.pdf","2019","Brandenburg"
"FFH-MP-265.pdf","2019","Brandenburg"
"FFH-MP-272.pdf","2019","Brandenburg"
"FFH-MP-277.pdf","2020","Brandenburg"
"FFH-MP-283.pdf","2020","Brandenburg"
"FFH-MP-287-666.pdf","2013","Brandenburg"
"FFH-MP-290.pdf","2014","Brandenburg"
"FFH-MP-306.pdf","2019","Brandenburg"
"FFH-MP-317.pdf","2020","Brandenburg"
"FFH-MP-318.pdf","2019","Brandenburg"
"FFH-MP-324.pdf","2015","Brandenburg"
"FFH-MP-328.pdf","2019","Brandenburg"
"FFH-MP-331.pdf","2020","Brandenburg"
"FFH-MP-332-727.pdf","2014","Brandenburg"
"FFH-MP-339.pdf","2015","Brandenburg"
"FFH-MP-345.pdf","2019","Brandenburg"
"FFH-MP-347.pdf","2020","Brandenburg"
"FFH-MP-348.pdf","2013","Brandenburg"
"FFH-MP-351.pdf","2017","Brandenburg"
"FFH-MP-352.pdf","2017","Brandenburg"
"FFH-MP-354.pdf","2017","Brandenburg"
"FFH-MP-355.pdf","2015","Brandenburg"
"FFH-MP-356.pdf","2017","Brandenburg"
"FFH-MP-358.pdf","2017","Brandenburg"
"FFH-MP-359.pdf","2016","Brandenburg"
"FFH-MP-367.pdf","2014","Brandenburg"
"FFH-MP-369-718.pdf","2015","Brandenburg"
"FFH-MP-377.pdf","2015","Brandenburg"
"FFH-MP-382.pdf","2015","Brandenburg"
"FFH-MP-423.pdf","2015","Brandenburg"
"FFH-MP-425.pdf","2014","Brandenburg"
"FFH-MP-433.pdf","2015","Brandenburg"
"FFH-MP-434.pdf","2014","Brandenburg"
"FFH-MP-435.pdf","2015","Brandenburg"
"FFH-MP-438.pdf","2013","Brandenburg"
"FFH-MP-446.pdf","2015","Brandenburg"
"FFH-MP-447-26-632.pdf","2015","Brandenburg"
"FFH-MP-453.pdf","2013","Brandenburg"
"FFH-MP-456.pdf","2012","Brandenburg"
"FFH-MP-460.pdf","2012","Brandenburg"
"FFH-MP-467.pdf","2018","Brandenburg"
"FFH-MP-471.pdf","2018","Brandenburg"
"FFH-MP-472.pdf","2019","Brandenburg"
"FFH-MP-480.pdf","2013","Brandenburg"
"FFH-MP-490.pdf","2018","Brandenburg"
"FFH-MP-492.pdf","2018","Brandenburg"
"FFH-MP-496-676-500.pdf","2014","Brandenburg"
"FFH-MP-503.pdf","2019","Brandenburg"
"FFH-MP-504-657.pdf","2015","Brandenburg"
"FFH-MP-506.pdf","2013","Brandenburg"
"FFH-MP-507.pdf","2013","Brandenburg"
"FFH-MP-517.pdf","2014","Brandenburg"
"FFH-MP-519.pdf","2019","Brandenburg"
"FFH-MP-552-627.pdf","2013","Brandenburg"
"FFH-MP-554.pdf","2013","Brandenburg"
"FFH-MP-555.pdf","2014","Brandenburg"
"FFH-MP-556.pdf","2016","Brandenburg"
"FFH-MP-559-651.pdf","2015","Brandenburg"
"FFH-MP-560.pdf","2012","Brandenburg"
"FFH-MP-576.pdf","2019","Brandenburg"
"FFH-MP-578-431.pdf","2012","Brandenburg"
"FFH-MP-583.pdf","2016","Brandenburg"
"FFH-MP-584.pdf","2015","Brandenburg"
"FFH-MP-587.pdf","2015","Brandenburg"
"FFH-MP-589.pdf","2015","Brandenburg"
"FFH-MP-592.pdf","2014","Brandenburg"
"FFH-MP-593.pdf","2014","Brandenburg"
"FFH-MP-594.pdf","2018","Brandenburg"
"FFH-MP-596.pdf","2016","Brandenburg"
"FFH-MP-600.pdf","2019","Brandenburg"
"FFH-MP-620.pdf","2015","Brandenburg"
"FFH-MP-626.pdf","2018","Brandenburg"
"FFH-MP-631.pdf","2018","Brandenburg"
"FFH-MP-633.pdf","2018","Brandenburg"
"FFH-MP-638.pdf","2015","Brandenburg"
"FFH-MP-639.pdf","2014","Brandenburg"
"FFH-MP-640.pdf","2014","Brandenburg"
"FFH-MP-652.pdf","2019","Brandenburg"
"FFH-MP-661.pdf","2015","Brandenburg"
"FFH-MP-662.pdf","2014","Brandenburg"
"FFH-MP-664.pdf","2013","Brandenburg"
"FFH-MP-672.pdf","2015","Brandenburg"
"FFH-MP-673.pdf","2013","Brandenburg"
"FFH-MP-675.pdf","2019","Brandenburg"
"FFH-MP-733.pdf","2013","Brandenburg"
"FFH-MP-737.pdf","2020","Brandenburg"
"FFH-MP-92-94-200-201.pdf","2014","Brandenburg"
"FFH-MP-Grieningmoor-und-Spreegebiet.pdf","2014","Brandenburg"
"FFH-MP-Oderbruch.pdf","2015","Brandenburg"
"FFH-MP-Raum-FF.pdf","2014","Brandenburg"
"FFH-MP-Skabyer.pdf","2014","Brandenburg"
"FFH-MP-Stechlin.pdf","2014","Brandenburg"
"FFH-MP053.pdf","2020","Brandenburg"
"FFH-MP082.pdf","2020","Brandenburg"
"FFH-MP083.pdf","2020","Brandenburg"
"FFH-MP100.pdf","2020","Brandenburg"
"FFH-MP116.pdf","2020","Brandenburg"
"FFH-MP133.pdf","2020","Brandenburg"
"FFH-MP142.pdf","2019","Brandenburg"
