"document","year","state"
"4011.pdf","2007","Hessen"
"4013.pdf","2007","Hessen"
"4015.pdf","2009","Hessen"
"4016.pdf","2008","Hessen"
"4017.pdf","2019","Hessen"
"4018.pdf","2009","Hessen"
"4019.pdf","2013","Hessen"
"4020.pdf","2013","Hessen"
"4022.pdf","2008","Hessen"
"4023_DB.pdf","2016","Hessen"
"4024.pdf","2008","Hessen"
"4025_DB.pdf","2016","Hessen"
"4028.pdf","2015","Hessen"
"4029.pdf","2007","Hessen"
"4031.pdf","2012","Hessen"
"4033.pdf","2010","Hessen"
"4035.pdf","2007","Hessen"
"4036.pdf","2007","Hessen"
"4037.pdf","2007","Hessen"
"4038.pdf","2019","Hessen"
"4039.pdf","2008","Hessen"
"4041.pdf","2011","Hessen"
"4042_DB.pdf","2016","Hessen"
"4045.pdf","2010","Hessen"
"4046_DB.pdf","2016","Hessen"
"4047.pdf","2010","Hessen"
"4048_DB.pdf","2016","Hessen"
"4049.pdf","2009","Hessen"
"4051.pdf","2015","Hessen"
"4056.pdf","2011","Hessen"
"4057.pdf","2014","Hessen"
"4058.pdf","2009","Hessen"
"4059.pdf","2011","Hessen"
"4060.pdf","2011","Hessen"
"4061.pdf","2009","Hessen"
"4062.pdf","2013","Hessen"
"4063_DB.pdf","2016","Hessen"
"4065.pdf","2014","Hessen"
"4066.pdf","2010","Hessen"
"4067.pdf","2010","Hessen"
"4068.pdf","2010","Hessen"
"4069.pdf","2009","Hessen"
"4071.pdf","2009","Hessen"
"4072_DB.pdf","2016","Hessen"
"4076.pdf","2009","Hessen"
"4077.pdf","2010","Hessen"
"4078.pdf","2016","Hessen"
"4079.pdf","2014","Hessen"
"4080.pdf","2012","Hessen"
"4081.pdf","2012","Hessen"
"4082.pdf","2017","Hessen"
"4083.pdf","2009","Hessen"
"4084.pdf","2009","Hessen"
"4085.pdf","2010","Hessen"
"4086.pdf","2008","Hessen"
"4087.pdf","2007","Hessen"
"4088_DB.pdf","2016","Hessen"
"4089_DB.pdf","2016","Hessen"
"4090_DB.pdf","2016","Hessen"
"4091.pdf","2008","Hessen"
"4092_DB.pdf","2016","Hessen"
"4093.pdf","2016","Hessen"
"4094.pdf","2011","Hessen"
"4095.pdf","2010","Hessen"
"4096.pdf","2010","Hessen"
"4097.pdf","2011","Hessen"
"4098.pdf","2010","Hessen"
"4099.pdf","2010","Hessen"
"4102_DB.pdf","2016","Hessen"
"4104_DB.pdf","2016","Hessen"
"4105_DB.pdf","2016","Hessen"
"4106.pdf","2008","Hessen"
"4107.pdf","2009","Hessen"
"4108.pdf","2009","Hessen"
"4109_DB.pdf","2016","Hessen"
"4110_DB.pdf","2016","Hessen"
"4111_DB.pdf","2016","Hessen"
"4112.pdf","2011","Hessen"
"4113.pdf","2015","Hessen"
"4114_DB.pdf","2016","Hessen"
"4116.pdf","2012","Hessen"
"4117.pdf","2010","Hessen"
"4119.pdf","2010","Hessen"
"4120.pdf","2012","Hessen"
"4122.pdf","2010","Hessen"
"4123.pdf","2010","Hessen"
"4125.pdf","2010","Hessen"
"4129.pdf","2016","Hessen"
"4130.pdf","2014","Hessen"
"4131.pdf","2016","Hessen"
"4132.pdf","2016","Hessen"
"4133.pdf","2016","Hessen"
"4135.pdf","2012","Hessen"
"4136_DB.pdf","2016","Hessen"
"4137.pdf","2010","Hessen"
"4138.pdf","2015","Hessen"
"4139.pdf","2012","Hessen"
"4140.pdf","2013","Hessen"
"4141.pdf","2016","Hessen"
"4142.pdf","2016","Hessen"
"4143.pdf","2012","Hessen"
