"document","year","state"
"1740_301_Managementplan_2019.pdf","2019","MeckPom"
"1946_301_Managementplan_2018_Datenschutzversion.pdf","2019","MeckPom"
"2017_B_Text_MaP.pdf","2017","MeckPom"
"2017_SCH_Text_MaP.pdf","2017","MeckPom"
"2646-305_Wälder_bei_Feldberg_MaP.pdf","2015","MeckPom"
"B_Managementplan_DE+1749-301_Greifswalder+Oie.pdf","2019","MeckPom"
"DE-2551-373_MAP.pdf","2017","MeckPom"
"DE_1343-301_PLA_MaP.pdf","2019","MeckPom"
"DE_1345-301_LIB_MaP.pdf","2019","MeckPom"
"DE_1446-302_Managementplan_Bestätigte_Endfassung.pdf","2019","MeckPom"
"DE_1540-302_DAR_MaP.pdf","2019","MeckPom"
"DE_1749-302_GBRS_MaP.pdf","2020","MeckPom"
"DE_2230-306_Tx-FFH-MP.pdf","2018","MeckPom"
"DE_2231-303_Textteil_I_II_MAP.pdf","2018","MeckPom"
"DE_2247-301_Managementplan.pdf","2017","MeckPom"
"DE_2334-302_Managementplan.pdf","2018","MeckPom"
"DE_2335-301_Managementplan.pdf","2018","MeckPom"
"DE_2348_301_Managementplan_2019_07_05.pdf","2019","MeckPom"
"DE_2350-304_Managementplan.pdf","2017","MeckPom"
"DE_2350_302_MP_endfassung.pdf","2018","MeckPom"
"DE_2441-302_FFH-Managementplan_Endfassung.pdf","2015","MeckPom"
"DE_2450-302_Managementplan.pdf","2017","MeckPom"
"DE_2535-302_Managementplan.pdf","2018","MeckPom"
"DE_2543-301_Managementplan_GGB_DE_2543-301_Stand_Oktober_2018.pdf","2018","MeckPom"
"DE_2549-305_Managementplan.pdf","2017","MeckPom"
"DE_2549_303_Endfassung.pdf","2019","MeckPom"
"DE_2551-302_Managementplan_Bestätigte_Endfassung.pdf","2019","MeckPom"
"DE_2551-374_Managementplan.pdf","2017","MeckPom"
"DE_2635-304_Managementplan.pdf","2018","MeckPom"
"DE_2645-301_Managementplan_GGB_DE_2645-301_Stand_September_2018.pdf","2018","MeckPom"
"DE_2651_301_MP_Gesamtplan.pdf","2019","MeckPom"
"DE_2750-305_Managementplan.pdf","2017","MeckPom"
"DE_2835-303_Managementplan.pdf","2018","MeckPom"
"DE+1547-303+Managementplan.pdf","2014","MeckPom"
"DE+1641_301+MP+Barther+Stadtholz.pdf","2019","MeckPom"
"DE+1744-301+Managementplan.pdf","2019","MeckPom"
"DE+1747-301+FFH_Managementplan_2011_11_01.pdf","2011","MeckPom"
"DE+1934-302+Textteil.pdf","2006","MeckPom"
"DE+1936-302_Endbericht.pdf","2012","MeckPom"
"DE+1941-301+Managementplan_Endfassung.pdf","2012","MeckPom"
"DE+2036-302_Endfassung.pdf","2012","MeckPom"
"DE+2048-302+Managementplan.pdf","2015","MeckPom"
"DE+2050-303+Managementplan.pdf","2014","MeckPom"
"DE+2130-302+Endfassung.pdf","2012","MeckPom"
"DE+2130-303+Endfassung.pdf","2012","MeckPom"
"DE+2137-302_Endfassung.pdf","2012","MeckPom"
"DE+2138-302_Endbericht.pdf","2011","MeckPom"
"DE+2234-304_Text.pdf","2010","MeckPom"
"DE+2236-301_Text+.pdf","2017","MeckPom"
"DE+2238-302_Endfassung.pdf","2011","MeckPom"
"DE+2245-302_managementplan_endfassung.pdf","2013","MeckPom"
"DE+2251-301+Text.pdf","2013","MeckPom"
"DE+2437-301_Text.pdf","2017","MeckPom"
"DE+2441-303_2013_11_06_managementplan_markierungen.pdf","2013","MeckPom"
"DE+2442-301+Karte+31.05.2011+MAP_Endfassung.pdf","2011","MeckPom"
"DE+2531-303_Endfassung_Stand_Dez2010.pdf","2010","MeckPom"
"DE+2533-301+Endfassung.pdf","2010","MeckPom"
"DE+2538-302+Endfassung.pdf","2013","MeckPom"
"DE+2635-303+Endfassung.pdf","2012","MeckPom"
"DE+2636-301_Text.pdf","2017","MeckPom"
"DE+2638-305+Endfassung_Stand_August_2012.pdf","2012","MeckPom"
"DE+2646-304+Managementplan.pdf","2016","MeckPom"
"DE+2737-302+Endfassung_2011-10-17.pdf","2011","MeckPom"
"DE+2742-302+Managementplan.pdf","2013","MeckPom"
"DE+2743-304_Managementplan.pdf","2012","MeckPom"
"DE+2744-309+Managementplan.pdf","2014","MeckPom"
"DE+2750-306+MAP+Endfassung.pdf","2013","MeckPom"
"DE1346-301+Managementplan_Endfassung.pdf","2011","MeckPom"
"DE1447_303_Teil_I_und_II_lm.pdf","2020","MeckPom"
"DE1640_302_MP_HohesUferAhrenshoop.pdf","2018","MeckPom"
"DE1645-302_MP_Kreidebruch_Gesammanagementplan_Final.pdf","2019","MeckPom"
"DE1849_301_MP_Dünengebiet_Trassenheide.pdf","2019","MeckPom"
"DE1934-303_MaPText.pdf","2017","MeckPom"
"DE2032_301_Teil_I_ll.pdf","2018","MeckPom"
"DE2036_301_Text.pdf","2016","MeckPom"
"DE2044-302_Managementplan.pdf","2017","MeckPom"
"DE2133_301_Teil_l_ll.pdf","2018","MeckPom"
"DE2133_302_Text.pdf","2017","MeckPom"
"DE2133_303_Everstorf_Managementplan.pdf","2014","MeckPom"
"DE2134_301_Teil_I_ll.pdf","2018","MeckPom"
"DE2136-302_Endfassung_Februar_2011.pdf","2011","MeckPom"
"DE2138-302_Endfassung_Februar_2011.pdf","2011","MeckPom"
"DE2232_301_Teil_l_ll.pdf","2018","MeckPom"
"DE2236-302_Endfassung_Februar_2011.pdf","2011","MeckPom"
"DE2236-303_Endfassung_Februar_2011.pdf","2011","MeckPom"
"DE2242-302_Managementplan.pdf","2018","MeckPom"
"DE2243-301_Managementplan.pdf","2019","MeckPom"
"DE2243-302_Managementplan.pdf","2017","MeckPom"
"DE2244-301_Managementplan.pdf","2019","MeckPom"
"DE2244-302_Managementplan.pdf","2018","MeckPom"
"DE2246-301_FFH-Managementplan.pdf","2017","MeckPom"
"DE2248-301_Managementplan.pdf","2018","MeckPom"
"DE2334_307_Text.pdf","2016","MeckPom"
"DE2336-301_Endfassung_Februar_2011.pdf","2011","MeckPom"
"DE2342-301_Managementplan.pdf","2017","MeckPom"
"DE2343-301_Managementplan.pdf","2017","MeckPom"
"DE2344-301_Managementplan.pdf","2019","MeckPom"
"DE2345-304_Managementplan.pdf","2020","MeckPom"
"DE2346-301_Managementplan.pdf","2018","MeckPom"
"DE2348-302_Managementplan.pdf","2018","MeckPom"
"DE2350_303_MP_Uecker_Gesamtentwurf_190528_.pdf","2019","MeckPom"
"DE2440-301_Managementplan.pdf","2018","MeckPom"
"DE2443-301_Managementplan.pdf","2018","MeckPom"
"DE2443-302_Managementplan.pdf","2018","MeckPom"
"DE2444-301_FFH-Managementplan.pdf","2017","MeckPom"
"DE2447-301_Managementplan.pdf","2018","MeckPom"
"DE2448_303_Teil_I_und_II.pdf","2020","MeckPom"
"DE2541-301_Managementplan.pdf","2019","MeckPom"
"DE2542-302_Managementplan.pdf","2019","MeckPom"
"DE2545-303_Managementplan.pdf","2018","MeckPom"
"DE2546-301_Managementplan.pdf","2019","MeckPom"
