"document","year","state"
"F156_S31.pdf","2016","SaxAnh"
"F35_S26_April-2012.pdf","2012","SaxAnh"
"F47_S28.pdf","2012","SaxAnh"
"ffh1_Teil_Hoyersburg_25_11_2014.pdf","2014","SaxAnh"
"FFH100_Alter_Stolberg_u_Heimkehle.pdf","2013","SaxAnh"
"FFH102_Salzstelle-bei-Hecklingen.pdf","2011","SaxAnh"
"ffh112_MMP-Text_2017-03-17.pdf","2017","SaxAnh"
"ffh113_MMP-Text__2015-08-03.pdf","2017","SaxAnh"
"FFH114_Saaledurchbruch-Rothenburg.pdf","2012","SaxAnh"
"ffh118_Porphyrlandschaft_Endfassung.pdf","2016","SaxAnh"
"FFH12_SPA11.pdf","2009","SaxAnh"
"ffh126_MMP_FFH0126.pdf","2017","SaxAnh"
"FFH129_SPA1.pdf","2013","SaxAnh"
"ffh136_Managementplan_Text.pdf","2018","SaxAnh"
"ffh138_text.pdf","2014","SaxAnh"
"FFH141_Saale-Elster-Luppe-Aue-zw-Mers-u-Hal.pdf","2011","SaxAnh"
"FFH143_Elster-Luppe-Aue.pdf","2011","SaxAnh"
"FFH144_Geiselniederung-westl-Merseburg.pdf","2011","SaxAnh"
"ffh145_mmp_0145_text.pdf","2017","SaxAnh"
"ffh152_Goettersitz.pdf","2014","SaxAnh"
"FFH157_SPA11_Elbaue-zwischen-Derben-und-Schoenhausen.pdf","2010","SaxAnh"
"FFH161_SPA19_Bodetal.pdf","2011","SaxAnh"
"FFH162_SPA19_Spaltenmoor.pdf","2013","SaxAnh"
"FFH177_SPA19_Burgesroth_Textteil.pdf","2013","SaxAnh"
"FFH189_Text_inkl_Anhang_Myotis_20200528.pdf","2020","SaxAnh"
"FFH192_Steingraben-bei-Staedten.pdf","2010","SaxAnh"
"FFH197_Marienberg-bei-Freyburg.pdf","2010","SaxAnh"
"FFH198_Engelwurzwiese-oestlich-Bad-Duerrenberg.pdf","2011","SaxAnh"
"FFH202_Salzstelle-Wormsdorf.pdf","2011","SaxAnh"
"FFH228_Oelbergstollen-bei-Wangen.pdf","2013","SaxAnh"
"FFH241_Weinberggrund-bei-Hecklingen.pdf","2010","SaxAnh"
"FFH262_Kuhberg-bei-Groest.pdf","2010","SaxAnh"
"FFH284_Wiesengebiet-westlich-Schladebach.pdf","2011","SaxAnh"
"FFH37_SPA11.pdf","2009","SaxAnh"
"FFH38_SPA11.pdf","2009","SaxAnh"
"FFH49.pdf","2010","SaxAnh"
"FFH55.pdf","2011","SaxAnh"
"ffh66_Woltersdorfer_Heide.pdf","2016","SaxAnh"
"FFH67_SPA1.pdf","2015","SaxAnh"
"FFH78_SPA29_Laubwaldgebiet-WR-Blbrg.pdf","2012","SaxAnh"
"FFH9_SPA11.pdf","2009","SaxAnh"
"SPA12_FFH27_FFH29_FFH235.pdf","2016","SaxAnh"
