"document","year","state"
"039E_text.pdf","2019","Saxony"
"156_AB_Text_Printversion.pdf","2012","Saxony"
"158_AB_Text_Printversion.pdf","2012","Saxony"
"161_Abschlussber_Prießnitzgrund_6_03_02.pdf","2006","Saxony"
"162_Wesenitz.pdf","2019","Saxony"
"167_Bosel_AB_end.pdf","2019","Saxony"
"171_Abschlussbericht.pdf","2010","Saxony"
"177_Abschlussbericht_05_05_10.pdf","2005","Saxony"
"181_ASB.pdf","2019","Saxony"
"182_AB_mit angen. Änderungen.pdf","2018","Saxony"
"183_Text.pdf","2019","Saxony"
"189_EAB_Text_doppelseitig.pdf","2012","Saxony"
"193_Abschlussbericht_22_11_2004.pdf","2004","Saxony"
"211_Abschlber_WölpernerTorfwiesen_110420.pdf","2012","Saxony"
"218_Endbericht_Textteil.pdf","2009","Saxony"
"223_Abschlber_NTHaselbacherTeiche_2012_Endabgabe.pdf","2013","Saxony"
"227_Abschlussbericht.pdf","2019","Saxony"
"228_V15_MapBockwitzEndbericht_red.pdf","2019","Saxony"
"240_Abschlussbericht.pdf","2019","Saxony"
"255_Abschlussbericht.pdf","2019","Saxony"
"256_ASB.pdf","2019","Saxony"
"266_Textteil.pdf","2019","Saxony"
"28E-Text.pdf","2019","Saxony"
"308_Endbericht.pdf","2019","Saxony"
"30E-Text.pdf","2019","Saxony"
"313_Abschlussbericht_080403.pdf","2019","Saxony"
"32e_text8.pdf","2006","Saxony"
"43E_Müglitztal_AB_nov-2006.pdf","2019","Saxony"
"52E_MaPBrandis_Abschlussbericht_2009.pdf","2010","Saxony"
"93_Abschlussbericht.pdf","2008","Saxony"
"AB_10-08-01.pdf","2010","Saxony"
"Abschlussbericht  MAP 96.pdf","2006","Saxony"
"Abschlussbericht MaP 108 Juni 2010.pdf","2019","Saxony"
"Abschlussbericht MaP 126 Januar 2010.pdf","2019","Saxony"
"Abschlussbericht MaP 164.pdf","2019","Saxony"
"Abschlussbericht MaP 165 März 2011.pdf","2011","Saxony"
"Abschlussbericht MaP 172.pdf","2019","Saxony"
"Abschlussbericht MaP 246.pdf","2011","Saxony"
"Abschlussbericht MaP 258.pdf","2014","Saxony"
"Abschlussbericht MaP 276.pdf","2008","Saxony"
"Abschlussbericht MaP 285.pdf","2010","Saxony"
"Abschlussbericht MaP 316.pdf","2008","Saxony"
"Abschlussbericht MaP157_aktuell.pdf","2019","Saxony"
"Abschlussbericht pSCI 110.pdf","2019","Saxony"
"Abschlussbericht SCI 307.pdf","2012","Saxony"
"Abschlussbericht.pdf","2019","Saxony"
"Abschlußbericht.pdf","2019","Saxony"
"Abschlussbericht_067E.pdf","2019","Saxony"
"Abschlussbericht_072E.pdf","2019","Saxony"
"Abschlussbericht_143.pdf","2006","Saxony"
"Abschlussbericht_236.pdf","2008","Saxony"
"Abschlussbericht_Fichtelbergwiesen_051026_Endabgabe.pdf","2019","Saxony"
"Abschlussbericht_MaP 235_04-2012.pdf","2012","Saxony"
"Abschlussbericht_Oels_05_10_14.pdf","2005","Saxony"
"Abschlußbericht_Pulsnitz.pdf","2004","Saxony"
"Abschlußbericht_SCI160.pdf","2019","Saxony"
"Abschlussbericht_SCI263_2011_04_12.pdf","2019","Saxony"
"Abschlussbericht080E_Mai2005.pdf","2019","Saxony"
"Abschlussbericht120.pdf","2019","Saxony"
"Bericht_004E.pdf","2019","Saxony"
"Bericht_007E.pdf","2008","Saxony"
"Bericht_056E_10.11.04.pdf","2019","Saxony"
"Bericht_170.pdf","2011","Saxony"
"bericht_SCI288.pdf","2011","Saxony"
"Bobritzschtext_2011_11.pdf","2011","Saxony"
"Endbericht SCI 302 .pdf","2012","Saxony"
"Endbericht SCI 3E und SPA 67.pdf","2019","Saxony"
"Endbericht.pdf","2007","Saxony"
"Endbericht_Dahle.pdf","2019","Saxony"
"Endbericht_MAP_Spree_099.pdf","2010","Saxony"
"Endbericht48E.pdf","2019","Saxony"
"Endgültiger Text MaP Wartha 311 100305.pdf","2005","Saxony"
"FFH-262_text.pdf","2019","Saxony"
"FFH-MaP-Scheibenberger Heide.pdf","2019","Saxony"
"FFH-SPA-MaP 03052010.pdf","2019","Saxony"
"FFH_017E_Abschlussbericht_Juli05.pdf","2019","Saxony"
"FFH_15E_Pöhle_AB.pdf","2019","Saxony"
"FFH_19_Weidenteich_Abschluss_Juni09.pdf","2019","Saxony"
"FFH_294_Klingenthal_EndBer_UFPLaktuell.pdf","2019","Saxony"
"FFH_304_Abschlussbericht.pdf","2019","Saxony"
"FFH_Bericht_SCI061E.pdf","2014","Saxony"
"FFH_Bericht_SCI123.pdf","2007","Saxony"
"FFH_Bericht_SCI163.pdf","2012","Saxony"
"FFH_Bericht_SCI185E.pdf","2005","Saxony"
"ffh_bericht_sci270.pdf","2008","Saxony"
"FFH_Grünes Band_021E_Juli05_UFP_PL.pdf","2019","Saxony"
"FFH_Lachsbach_166_Text.pdf","2019","Saxony"
"Gesamttext.pdf","2019","Saxony"
"Gesamttext_SCI 142_Vervielfältigung.pdf","2019","Saxony"
