"document","year","state"
"ffh_001_spa_01_MaP_AB.pdf","2019","Thuringia"
"ffh_002_spa_01_MaP_AB.pdf","2019","Thuringia"
"ffh_003_spa_03_MaP_AB.pdf","2019","Thuringia"
"ffh_005_spa_02_MaP_AB.pdf","2019","Thuringia"
"ffh_012_spa_05_MaP_AB.pdf","2019","Thuringia"
"ffh_015_spa_06_MaP_AB.pdf","2020","Thuringia"
"ffh_017_spa_12_MaP_AB.pdf","2019","Thuringia"
"ffh_018_spa_12_MaP_AB.pdf","2019","Thuringia"
"ffh_020_map_ab.pdf","2018","Thuringia"
"ffh_021_map_ab.pdf","2018","Thuringia"
"ffh_023_map_ab.pdf","2017","Thuringia"
"ffh_024_map_ab.pdf","2018","Thuringia"
"ffh_026_MaP_AB.pdf","2020","Thuringia"
"ffh_032_map_ab.pdf","2018","Thuringia"
"ffh_033_MaP_AB.pdf","2019","Thuringia"
"ffh_034_map_ab.pdf","2018","Thuringia"
"ffh_035_map_ab.pdf","2018","Thuringia"
"ffh_036_spa_14_MaP_AB.pdf","2019","Thuringia"
"ffh_037_map_ab.pdf","2018","Thuringia"
"ffh_039_map_ab.pdf","2015","Thuringia"
"ffh_041_map_ab.pdf","2014","Thuringia"
"ffh_043_map_ab.pdf","2018","Thuringia"
"ffh_045_spa_17_MaP_AB.pdf","2020","Thuringia"
"ffh_046_MaP_AB.pdf","2019","Thuringia"
"ffh_047_MaP_AB.pdf","2019","Thuringia"
"ffh_048_MaP_AB.pdf","2019","Thuringia"
"ffh_050_MaP_AB.pdf","2019","Thuringia"
"ffh_051_MaP_AB.pdf","2019","Thuringia"
"ffh_052_map_ab.pdf","2018","Thuringia"
"ffh_053_map_ab.pdf","2018","Thuringia"
"ffh_055_spa_29_MaP_AB.pdf","2020","Thuringia"
"ffh_056_spa_31_MaP_AB.pdf","2018","Thuringia"
"ffh_057_spa_31_MaP_AB.pdf","2018","Thuringia"
"ffh_058_spa_32_MaP_AB.pdf","2018","Thuringia"
"ffh_060_spa_24_MaP_AB.pdf","2019","Thuringia"
"ffh_061_map_ab.pdf","2018","Thuringia"
"ffh_063_spa_29_MaP_AB.pdf","2019","Thuringia"
"ffh_065_map_ab.pdf","2014","Thuringia"
"ffh_066_map_ab.pdf","2015","Thuringia"
"ffh_068_map_ab.pdf","2018","Thuringia"
"ffh_079_MaP_AB.pdf","2020","Thuringia"
"ffh_081_MaP_AB.pdf","2020","Thuringia"
"ffh_083_MaP_AB.pdf","2020","Thuringia"
"ffh_084_MaP_AB.pdf","2020","Thuringia"
"ffh_085_MaP_AB.pdf","2020","Thuringia"
"ffh_086_MaP_AB.pdf","2020","Thuringia"
"ffh_087_MaP_AB.pdf","2020","Thuringia"
"ffh_089_MaP_AB.pdf","2020","Thuringia"
"ffh_090_MaP_AB.pdf","2020","Thuringia"
"ffh_091_MaP_AB.pdf","2020","Thuringia"
"ffh_094_MaP_AB.pdf","2020","Thuringia"
"ffh_095_MaP_AB.pdf","2020","Thuringia"
"ffh_099_map_ab.pdf","2018","Thuringia"
"ffh_100_map_ab.pdf","2018","Thuringia"
"ffh_105_MaP_AB.pdf","2020","Thuringia"
"ffh_106_map_ab.pdf","2018","Thuringia"
"ffh_107_spa_26_MaP_AB.pdf","2020","Thuringia"
"ffh_109_spa_26_MaP_AB.pdf","2020","Thuringia"
"ffh_111_spa_18_19_26_27_MaP_AB.pdf","2020","Thuringia"
"ffh_113_map_ab.pdf","2015","Thuringia"
"ffh_114_MaP_AB.pdf","2019","Thuringia"
"ffh_117_map_ab.pdf","2018","Thuringia"
"ffh_118_map_ab.pdf","2015","Thuringia"
"ffh_119_MaP_AB.pdf","2019","Thuringia"
"ffh_120_MaP_AB.pdf","2019","Thuringia"
"ffh_121_MaP_AB.pdf","2019","Thuringia"
"ffh_122_map_ab.pdf","2018","Thuringia"
"ffh_123_MaP_AB_.pdf","2020","Thuringia"
"ffh_124_spa_33_MaP_AB.pdf","2020","Thuringia"
"ffh_125_map_ab.pdf","2018","Thuringia"
"ffh_126_MaP_AB.pdf","2020","Thuringia"
"ffh_127_spa_33_MaP_AB.pdf","2020","Thuringia"
"ffh_129_spa_33_MaP_AB.pdf","2020","Thuringia"
"ffh_130_spa_33_MaP_AB.pdf","2020","Thuringia"
"ffh_131_map_ab.pdf","2018","Thuringia"
"ffh_132_MaP_AB.pdf","2019","Thuringia"
"ffh_133_map_ab.pdf","2018","Thuringia"
"ffh_134_map_ab.pdf","2018","Thuringia"
"ffh_135_MaP_AB.pdf","2019","Thuringia"
"ffh_136_map_ab.pdf","2018","Thuringia"
"ffh_137_MaP_AB.pdf","2018","Thuringia"
"ffh_138_MaP_AB.pdf","2019","Thuringia"
"ffh_142_spa_44_MaP_AB.pdf","2020","Thuringia"
"ffh_146_map_ab.pdf","2018","Thuringia"
"ffh_147_map_ab.pdf","2018","Thuringia"
"ffh_148_map_ab.pdf","2018","Thuringia"
"ffh_149_MaP_AB.pdf","2020","Thuringia"
"ffh_150_spa_41_MaP_AB.pdf","2020","Thuringia"
"ffh_151_map_ab.pdf","2018","Thuringia"
"ffh_153_spa_28_MaP_AB.pdf","2020","Thuringia"
"ffh_154_MaP_AB.pdf","2018","Thuringia"
"ffh_155_map_ab.pdf","2015","Thuringia"
"ffh_156_MaP_AB.pdf","2020","Thuringia"
"ffh_157_map_ab.pdf","2017","Thuringia"
"ffh_158_map_ab.pdf","2017","Thuringia"
"ffh_161_spa_38_MaP_AB.pdf","2018","Thuringia"
"ffh_162_map_ab.pdf","2018","Thuringia"
"ffh_163_map_ab.pdf","2017","Thuringia"
"ffh_164_map_ab.pdf","2018","Thuringia"
"ffh_165_map_ab.pdf","2018","Thuringia"
"ffh_166_spa_11_MaP_AB.pdf","2020","Thuringia"
"ffh_167_MaP_AB.pdf","2020","Thuringia"
"ffh_168_MaP_AB.pdf","2020","Thuringia"
"ffh_169_MaP_AB.pdf","2019","Thuringia"
"ffh_170_MaP_AB.pdf","2019","Thuringia"
"ffh_171_MaP_AB.pdf","2020","Thuringia"
"ffh_173_map_ab.pdf","2015","Thuringia"
"ffh_174_spa_27_MaP_AB.pdf","2019","Thuringia"
"ffh_181_map_ab.pdf","2018","Thuringia"
"ffh_182_map_ab.pdf","2018","Thuringia"
"ffh_185_MaP_AB.pdf","2018","Thuringia"
"ffh_186_map_ab.pdf","2018","Thuringia"
"ffh_187_MaP_AB.pdf","2020","Thuringia"
"ffh_190_spa_27_MaP_AB.pdf","2020","Thuringia"
"ffh_192_spa_26_MaP_AB.pdf","2020","Thuringia"
"ffh_193_spa_01_MaP_AB.pdf","2019","Thuringia"
"ffh_194_map_ab.pdf","2015","Thuringia"
"ffh_196_spa_04_MaP_AB.pdf","2020","Thuringia"
"ffh_197_map_ab.pdf","2018","Thuringia"
"ffh_198_spa_11_12_MaP_AB.pdf","2020","Thuringia"
"ffh_199_map_ab.pdf","2018","Thuringia"
"ffh_200_MaP_AB.pdf","2020","Thuringia"
"ffh_202_map_ab.pdf","2018","Thuringia"
"ffh_203_MaP_AB.pdf","2019","Thuringia"
"ffh_204_map_ab.pdf","2018","Thuringia"
"ffh_205_MaP_AB.pdf","2019","Thuringia"
"ffh_206_map_ab.pdf","2018","Thuringia"
"ffh_207_MaP_AB.pdf","2019","Thuringia"
"ffh_208_spa_29_MaP_AB.pdf","2020","Thuringia"
"ffh_209_map_ab.pdf","2018","Thuringia"
