,X,document,year,state,date,title
1,1,de5527301_t_ge_nfin_ffin.pdf,2004,Bavaria,NA,NA
2,2,de5626301_t_ge_nfin_ffin.pdf,2008,Bavaria,NA,NA
3,3,de5627301_t_ge_nfin_ffin.pdf,2002,Bavaria,NA,NA
4,4,de5627303_t_ge_nfin_ffin.pdf,2004,Bavaria,NA,NA
5,5,de5627304_t_ge_nfin_ffin.pdf,2004,Bavaria,NA,NA
6,6,de5631371_t_2files_merged.pdf,2014,Bavaria,NA,NA
7,7,de5631372_t_2files_merged.pdf,2008,Bavaria,NA,NA
8,8,de5631373_t_2files_merged.pdf,2018,Bavaria,NA,NA
9,9,de5632302_t_2files_merged.pdf,2013,Bavaria,NA,NA
10,10,de5632303_t_2files_merged.pdf,2014,Bavaria,NA,NA
11,11,de5632371_t_2files_merged.pdf,2011,Bavaria,NA,NA
12,12,de5634371_t_2files_merged.pdf,2011,Bavaria,NA,NA
13,13,de5636371_t_2files_merged.pdf,2017,Bavaria,NA,NA
14,14,de5723471_t_2files_merged.pdf,2016,Bavaria,NA,NA
15,15,de5725301_t_2files_merged.pdf,2018,Bavaria,NA,NA
16,16,de5725302_t_2files_merged.pdf,2018,Bavaria,NA,NA
17,17,de5728371_t_2files_merged.pdf,2016,Bavaria,NA,NA
18,18,de5728471_t_2files_merged.pdf,2017,Bavaria,NA,NA
19,19,de5729301_t_ge_nfin_ffin.pdf,2011,Bavaria,NA,NA
20,20,de5730301_t_2files_merged.pdf,2013,Bavaria,NA,NA
21,21,de5730302_t_2files_merged.pdf,2016,Bavaria,NA,NA
22,22,de5731301_t_2files_merged.pdf,2011,Bavaria,NA,NA
23,23,de5731302_t_2files_merged.pdf,2012,Bavaria,NA,NA
24,24,de5731303_t_2files_merged.pdf,2010,Bavaria,NA,NA
25,25,de5731305_t_2files_merged.pdf,2011,Bavaria,NA,NA
26,26,de5732371_t_2files_merged.pdf,2019,Bavaria,NA,NA
27,27,de5732372_t_2files_merged.pdf,2012,Bavaria,NA,NA
28,28,de5732373_t_2files_merged.pdf,2019,Bavaria,NA,NA
29,29,de5733302_t_2files_merged.pdf,2013,Bavaria,NA,NA
30,30,de5733303_t_2files_merged.pdf,2010,Bavaria,NA,NA
31,31,de5733371_t_2files_merged.pdf,2014,Bavaria,NA,NA
32,32,de5734301_t_2files_merged.pdf,2013,Bavaria,NA,NA
33,33,de5734302_t_2files_merged.pdf,2008,Bavaria,NA,NA
34,34,de5734303_t_2files_merged.pdf,2014,Bavaria,NA,NA
35,35,de5734304_t_2files_merged.pdf,2016,Bavaria,NA,NA
36,36,de5735301_t_2files_merged.pdf,2012,Bavaria,NA,NA
37,37,de5737371_t_2files_merged.pdf,2008,Bavaria,NA,NA
38,38,de5738371_t_2files_merged.pdf,2019,Bavaria,NA,NA
39,39,de5823301_t_2files_merged.pdf,2011,Bavaria,NA,NA
40,40,de5824301_t_ge_nfin_ffin.pdf,2015,Bavaria,NA,NA
41,41,de5824302_t_2files_merged.pdf,2019,Bavaria,NA,NA
42,42,de5824371_t_2files_merged.pdf,2018,Bavaria,NA,NA
43,43,de5824372_t_2files_merged.pdf,2013,Bavaria,NA,NA
44,44,de5825301_t_ge_nfin_ffin.pdf,2005,Bavaria,NA,NA
