,document,date,title,state,year
1,de5527401_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,NA
2,de5528371_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,NA
3,de5533302_t_fg_ffin_nfin_2files_converged.pdf,NA,NA,Bavaria,NA
4,de5536371_t_fg_ffin_nfin_2files_converged.pdf,NA,NA,Bavaria,NA
5,de5626372_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,NA
6,de5628301_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,NA
7,de5628371_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,NA
8,de5628471_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,NA
9,de5629303_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,NA
10,de5630371_t_fg_ffin_nfin_2files_converged.pdf,NA,NA,Bavaria,NA
11,de5630372_t_2files_merged.pdf,NA,NA,Bavaria,NA
12,de6032371_t_2files_merged.pdf,NA,NA,Bavaria,NA
13,de6426471_t_ge_nfin_ffin.pdf,NA,NA,Bavaria,NA
14,0_2_PEPL_Albtrauf_Bericht_Endfassung_20071207.pdf,NA,NA,BaWue,NA
15,00_MaP_Steinheimer_Becken_Text_Endfassung.pdf,NA,NA,BaWue,NA
16,02_text_managementplan_3.pdf,NA,NA,BaWue,NA
17,6620341_02_text_managementplan_ohne_Bilder.pdf,NA,NA,BaWue,NA
18,7016342_text_managementplan.pdf,NA,NA,BaWue,NA
19,7116342_02_text_managementplan.pdf,NA,NA,BaWue,NA
20,7314341_03_maptext.pdf,NA,NA,BaWue,NA
21,7319341_02_text_managementplan_reduziert.pdf,NA,NA,BaWue,NA
22,7418341_02_text_managementplan.pdf,NA,NA,BaWue,NA
23,8322341_02_text_bodensee_fn_west_2009.pdf,NA,NA,BaWue,NA
24,MaP_Albuchwiesen_Text.pdf,NA,NA,BaWue,NA
25,stromberg_01_pepl_text_3_Dateien_zusammengefügt.pdf,NA,NA,BaWue,NA
