"label","deca","eff.mean","eff.low","eff.upp","category","label.y"
"aboveground",2015,-2.22716851231081,-2.38954174190992,-2.06406727589024,"biodiversity","bA"
"aboveground",2020,-2.16401816706843,-2.30957209491732,-2.01791946331601,"biodiversity","bA"
"acidification",2015,-0.013496600441164,-0.553370356882907,0.526489473016093,"threat","tA"
"acidification",2020,-0.00330773691654219,-0.501762156527328,0.495163200625129,"threat","tA"
"agriculture",2020,0.0086774790056273,-0.141924206444689,0.15927576366367,"function","fA"
"agriculture",2015,0.0174813195832993,-0.141028079236071,0.17597905184975,"function","fA"
"amount",2020,-0.0451324649159871,-0.23402224500487,0.14380076881692,"soil","sA"
"amount",2015,-0.0629896622555061,-0.26642675629779,0.140523542269283,"soil","sA"
"belowground",2020,-0.262906072175376,-0.419267836340062,-0.106392128846971,"biodiversity","bB"
"belowground",2015,-0.36695176407638,-0.537790411916987,-0.195799239428561,"biodiversity","bB"
"characteristic",2015,0.114970260727292,-0.0198058940988548,0.249689288978794,"protection","pC"
"characteristic",2020,0.129708516434707,0.00348231523360535,0.255891146506703,"protection","pC"
"chem.property",2020,0.0868870379696016,-0.0298353849263863,0.203582634066972,"feature","cCh"
"chem.property",2015,-0.117196989181776,-0.240800273251319,0.00645562401408908,"feature","cCh"
"classification",2020,-0.320286490163603,-0.430617441995831,-0.209867085960903,"soil","sC"
"classification",2015,-0.74380975862465,-0.862833979984349,-0.624527324051781,"soil","sC"
"climate",2020,-0.00848737285829881,-0.145020213116343,0.128048587150676,"driver","dC"
"climate",2015,-0.0225545320673426,-0.170018781587232,0.124923889572696,"driver","dC"
"compaction",2015,-0.145094952541384,-0.340018736919105,0.0499943448837811,"threat","tC"
"compaction",2020,-0.194701984073982,-0.379874530545085,-0.00935168939393548,"threat","tC"
"contamination",2020,-0.0402543576825836,-0.272372041410472,0.191919250010915,"threat","tP"
"contamination",2015,-0.0149485223957882,-0.263809763182127,0.233939762393872,"threat","tP"
"cover",2020,-0.0228542804120499,-0.170627517358677,0.124930726097749,"feature","cCo"
"cover",2015,-0.086569054048227,-0.245590529167594,0.0725166046947252,"feature","cCo"
"decomposition",2020,-0.0885845125412614,-0.290262546496417,0.113185050881263,"function","fD"
"decomposition",2015,-0.0933948797312009,-0.310970931339435,0.12431391896551,"function","fD"
"deforestation",2015,-0.0199890218234465,-0.410843102345593,0.370956686198156,"threat","tF"
"deforestation",2020,-0.0190507818783066,-0.387682478365005,0.349650250001535,"threat","tF"
"degradation",2015,0.00923045938930524,-0.189120222884726,0.207573385107747,"threat","tG"
"degradation",2020,0.040133306011347,-0.143105685016286,0.223345429822987,"threat","tG"
"deposition",2020,-0.06510131367365,-0.277853852592929,0.14772248499577,"threat","tDp"
"deposition",2015,-0.0725696584116653,-0.301632068518171,0.156605453921536,"threat","tDp"
"disturbance",2020,-1.04383021177847,-1.18489494024189,-0.902365598948327,"threat","tDi"
"disturbance",2015,-1.02924417118196,-1.18109628621319,-0.876845284718832,"threat","tDi"
"diversity",2020,-0.125288754847395,-0.281325131117002,0.0308215382571188,"biodiversity","bD"
"diversity",2015,-0.0831341831277966,-0.251696269757043,0.0854963042819673,"biodiversity","bD"
"economy",2015,0.00374676526623853,-0.190615105688551,0.198104637882363,"driver","dE"
"economy",2020,-0.0119989717939009,-0.19802717202718,0.174039038273974,"driver","dE"
"environment",2020,-0.544682174074507,-0.650912519614039,-0.43831726299319,"biodiversity","bE"
"environment",2015,-0.836722008743156,-0.951371057073032,-0.721805842152294,"biodiversity","bE"
"erosion",2020,-0.188917640010912,-0.314556019551537,-0.0632134231919445,"threat","tE"
"erosion",2015,-0.309926184936335,-0.445422526005881,-0.174272211711392,"threat","tE"
"filtration",2020,-0.0434063781311259,-0.185103408211018,0.0983099680559603,"function","fF"
"filtration",2015,-0.0743599140316417,-0.227957530778469,0.07928907435917,"function","fF"
"global.cycles",2015,-0.22265760923034,-0.422773650687968,-0.0222833209956362,"function","fG"
"global.cycles",2020,-0.141166332234693,-0.323404618567242,0.0411720451748615,"function","fG"
"habitat",2020,-0.118141479013173,-0.241399306771207,0.00515508095781171,"function","fH"
"habitat",2015,-0.33300995151862,-0.464682088729546,-0.201181915490238,"function","fH"
"human",2020,0.000566741915335344,-0.221812247792954,0.222945052253243,"driver","dH"
"human",2015,-0.00891094693447592,-0.242404576846166,0.224596497852282,"driver","dH"
"inputs",2020,0.00219763806781494,-0.326998855291862,0.331388901963944,"threat","tI"
"inputs",2015,-0.00580589532225647,-0.363634606575446,0.352044653214332,"threat","tI"
"invasion",2015,0.0117050004490073,-1.41566970686562,1.43890305619143,"driver","dI"
"invasion",2020,0.00934683972407921,-1.41084211956228,1.42941933964684,"driver","dI"
"landuse",2015,0.0482970186980174,-0.11639680172823,0.212957357561211,"threat","tL"
"landuse",2020,0.0366841587334055,-0.118496282015535,0.191849293196555,"threat","tL"
"location",2020,-0.126954590914072,-0.301954684292329,0.0481317982974553,"feature","cL"
"location",2015,-0.197438531501826,-0.385117814227964,-0.00956438651410064,"feature","cL"
"managing",2020,0.143069869764889,0.0339422967597009,0.252160709454564,"protection","pM"
"managing",2015,-0.284751471489768,-0.400825603171796,-0.168572578060371,"protection","pM"
"pest.control",2020,0.000301253590918547,-1.32660929032581,1.32719532451008,"function","fPe"
"pest.control",2015,0.00011113476689716,-1.3523963382997,1.35261178653188,"function","fPe"
"phy.property",2015,-0.459480868123528,-0.57851542855667,-0.340272434157122,"feature","cP"
"phy.property",2020,-0.425251494762664,-0.536816289006415,-0.313569966618809,"feature","cP"
"policy",2020,0.272591856578918,0.149296095008228,0.395798429406371,"protection","pP"
"policy",2015,0.21689473381785,0.0876051484271376,0.346089690873052,"protection","pP"
"property.market",2020,-0.012180549300756,-0.497306435375858,0.473028696993242,"function","fPr"
"property.market",2015,-0.0125595730315593,-0.511912823984381,0.486890179799701,"function","fPr"
"relocation",2020,-0.0109780109939934,-0.176979972596304,0.155030607498091,"driver","dR"
"relocation",2015,-0.0090480728968571,-0.187396630180776,0.169306725710591,"driver","dR"
"research",2015,-1.43310074410128,-1.58113620919941,-1.28445848617527,"protection","pR"
"research",2020,-1.20722493226143,-1.33980223242988,-1.07426780772607,"protection","pR"
"salinization",2020,-0.0150516748485422,-0.635337961269701,0.605373741721573,"threat","tSa"
"salinization",2015,-0.00488320788257401,-0.639053833524328,0.629339225142502,"threat","tSa"
"sealing",2020,0.00142923507289667,-0.498851999182809,0.501701974754748,"threat","tSe"
"sealing",2015,0.00526097646521233,-0.514826896318755,0.525309662578455,"threat","tSe"
"soil",2020,-0.115703388307492,-0.223781457681925,-0.00759455405665804,"soil","soil"
"soil",2015,-0.23942775593031,-0.353508006198653,-0.125262950541686,"soil","soil"
"stability",2015,-0.00947737574640338,-0.415409629731234,0.396503228817952,"function","fS"
"stability",2020,0.00519724345757285,-0.354109465773907,0.364490065207458,"function","fS"
"succession",2015,-0.294769284852615,-0.436945785569893,-0.152422223861758,"feature","cS"
"succession",2020,-0.131397462365893,-0.263796205913622,0.00105480675577574,"feature","cS"
