subcategory,word2,deca,mean,tf,df,df.n
aboveground,aboveground,2010,17.70871985,9545,335,0.621521336
environment,environment,2010,17.50649351,9436,452,0.838589981
environment,environment,2020,15.45561139,27681,1529,0.853713009
environment,environment,2015,14.55829787,17106,1021,0.86893617
classification,classification,2010,11.90166976,6415,412,0.764378479
soil,soil,2010,11.01298701,5936,426,0.790352505
classification,classification,2020,10.69570073,19156,1397,0.780011167
phy.property,phy.property,2010,10.69387755,5764,404,0.749536178
soil,soil,2020,10.5773311,18944,1448,0.808486879
soil,soil,2015,10.1693617,11949,978,0.832340426
aboveground,aboveground,2015,9.861276596,11587,682,0.580425532
aboveground,aboveground,2020,9.560580681,17123,1096,0.611948632
research,research,2010,9.517625232,5130,315,0.584415584
classification,classification,2015,9.280851064,10905,940,0.8
managing,managing,2020,9.269681742,16602,1450,0.809603573
phy.property,phy.property,2020,9.09268565,16285,1393,0.777777778
phy.property,phy.property,2015,9.074893617,10663,880,0.74893617
managing,managing,2010,8.730983302,4706,416,0.771799629
managing,managing,2015,7.727659574,9080,929,0.790638298
disturbance,disturbance,2010,7.25974026,3913,273,0.506493506
chem.property,chem.property,2020,6.844779453,12259,1268,0.707984366
chem.property,chem.property,2010,6.517625232,3513,363,0.673469388
chem.property,chem.property,2015,6.104680851,7173,821,0.698723404
habitat,habitat,2010,5.935064935,3199,323,0.599257885
habitat,habitat,2020,5.490228922,9833,1169,0.652707984
research,aboveground,2010,5.430426716,2927,185,0.3432282
aboveground,research,2010,5.430426716,2927,185,0.3432282
research,research,2020,4.972082635,8905,1109,0.619207147
habitat,habitat,2015,4.761702128,5595,730,0.621276596
environment,aboveground,2010,4.621521336,2491,254,0.471243043
aboveground,environment,2010,4.621521336,2491,254,0.471243043
policy,policy,2020,4.542155221,8135,1199,0.669458403
research,research,2015,4.468085106,5250,665,0.565957447
erosion,erosion,2010,4.413729128,2379,309,0.573283859
environment,classification,2010,4.380333952,2361,355,0.658627087
classification,environment,2010,4.380333952,2361,355,0.658627087
environment,chem.property,2020,4.371300949,7829,1051,0.586823004
chem.property,environment,2020,4.371300949,7829,1051,0.586823004
policy,policy,2015,4.28,5029,812,0.69106383
soil,environment,2020,4.236180905,7587,1203,0.671691792
environment,soil,2020,4.236180905,7587,1203,0.671691792
environment,classification,2020,4.097710776,7339,1133,0.632607482
classification,environment,2020,4.097710776,7339,1133,0.632607482
environment,chem.property,2015,4.038297872,4745,694,0.590638298
chem.property,environment,2015,4.038297872,4745,694,0.590638298
characteristic,characteristic,2020,4.024567281,7208,1175,0.656058068
phy.property,environment,2015,3.994042553,4693,694,0.590638298
environment,phy.property,2015,3.994042553,4693,694,0.590638298
soil,environment,2010,3.957328386,2133,353,0.654916512
environment,soil,2010,3.957328386,2133,353,0.654916512
characteristic,characteristic,2015,3.941276596,4631,699,0.594893617
soil,environment,2015,3.897021277,4579,819,0.697021277
environment,soil,2015,3.897021277,4579,819,0.697021277
environment,chem.property,2010,3.881261596,2092,319,0.591836735
chem.property,environment,2010,3.881261596,2092,319,0.591836735
managing,environment,2020,3.877721943,6945,1229,0.686208822
environment,managing,2020,3.877721943,6945,1229,0.686208822
environment,classification,2015,3.749787234,4406,744,0.633191489
classification,environment,2015,3.749787234,4406,744,0.633191489
erosion,erosion,2020,3.702400893,6631,1159,0.647124511
phy.property,environment,2020,3.657174763,6550,1087,0.606923506
environment,phy.property,2020,3.657174763,6550,1087,0.606923506
phy.property,environment,2010,3.649350649,1967,324,0.601113173
environment,phy.property,2010,3.649350649,1967,324,0.601113173
disturbance,disturbance,2015,3.633191489,4269,576,0.490212766
habitat,aboveground,2010,3.604823748,1943,204,0.378478664
aboveground,habitat,2010,3.604823748,1943,204,0.378478664
characteristic,characteristic,2010,3.536178108,1906,304,0.564007421
policy,policy,2010,3.515769944,1895,323,0.599257885
disturbance,disturbance,2020,3.329424902,5963,928,0.518146287
erosion,erosion,2015,3.321702128,3903,667,0.567659574
managing,environment,2010,3.189239332,1719,352,0.653061224
environment,managing,2010,3.189239332,1719,352,0.653061224
soil,classification,2015,3.157446809,3710,710,0.604255319
classification,soil,2015,3.157446809,3710,710,0.604255319
soil,classification,2020,3.152987158,5647,986,0.55053043
classification,soil,2020,3.152987158,5647,986,0.55053043
disturbance,aboveground,2010,3.141001855,1693,130,0.241187384
aboveground,disturbance,2010,3.141001855,1693,130,0.241187384
phy.property,aboveground,2010,3.139146568,1692,190,0.352504638
aboveground,phy.property,2010,3.139146568,1692,190,0.352504638
soil,classification,2010,3.131725417,1688,312,0.578849722
classification,soil,2010,3.131725417,1688,312,0.578849722
