document,year,state,date,title
de5527301_t_ge_nfin_ffin.pdf,2004,Bavaria,NA,NA
de5626301_t_ge_nfin_ffin.pdf,2008,Bavaria,NA,NA
de5627301_t_ge_nfin_ffin.pdf,2002,Bavaria,NA,NA
de5627303_t_ge_nfin_ffin.pdf,2004,Bavaria,NA,NA
de5627304_t_ge_nfin_ffin.pdf,2004,Bavaria,NA,NA
de5631371_t_2files_merged.pdf,2014,Bavaria,NA,NA
de5631372_t_2files_merged.pdf,2008,Bavaria,NA,NA
de5631373_t_2files_merged.pdf,2018,Bavaria,NA,NA
de5632302_t_2files_merged.pdf,2013,Bavaria,NA,NA
de5632303_t_2files_merged.pdf,2014,Bavaria,NA,NA
de5632371_t_2files_merged.pdf,2011,Bavaria,NA,NA
de5634371_t_2files_merged.pdf,2011,Bavaria,NA,NA
de5636371_t_2files_merged.pdf,2017,Bavaria,NA,NA
de5723471_t_2files_merged.pdf,2016,Bavaria,NA,NA
de5725301_t_2files_merged.pdf,2018,Bavaria,NA,NA
de5725302_t_2files_merged.pdf,2018,Bavaria,NA,NA
de5728371_t_2files_merged.pdf,2016,Bavaria,NA,NA
de5728471_t_2files_merged.pdf,2017,Bavaria,NA,NA
de5729301_t_ge_nfin_ffin.pdf,2011,Bavaria,NA,NA
de5730301_t_2files_merged.pdf,2013,Bavaria,NA,NA
de5730302_t_2files_merged.pdf,2016,Bavaria,NA,NA
de5731301_t_2files_merged.pdf,2011,Bavaria,NA,NA
de5731302_t_2files_merged.pdf,2012,Bavaria,NA,NA
de5731303_t_2files_merged.pdf,2010,Bavaria,NA,NA
de5731305_t_2files_merged.pdf,2011,Bavaria,NA,NA
de5732371_t_2files_merged.pdf,2019,Bavaria,NA,NA
de5732372_t_2files_merged.pdf,2012,Bavaria,NA,NA
de5732373_t_2files_merged.pdf,2019,Bavaria,NA,NA
de5733302_t_2files_merged.pdf,2013,Bavaria,NA,NA
de5733303_t_2files_merged.pdf,2010,Bavaria,NA,NA
de5733371_t_2files_merged.pdf,2014,Bavaria,NA,NA
de5734301_t_2files_merged.pdf,2013,Bavaria,NA,NA
de5734302_t_2files_merged.pdf,2008,Bavaria,NA,NA
de5734303_t_2files_merged.pdf,2014,Bavaria,NA,NA
de5734304_t_2files_merged.pdf,2016,Bavaria,NA,NA
de5735301_t_2files_merged.pdf,2012,Bavaria,NA,NA
de5737371_t_2files_merged.pdf,2008,Bavaria,NA,NA
de5738371_t_2files_merged.pdf,2019,Bavaria,NA,NA
de5823301_t_2files_merged.pdf,2011,Bavaria,NA,NA
de5824301_t_ge_nfin_ffin.pdf,2015,Bavaria,NA,NA
de5824302_t_2files_merged.pdf,2019,Bavaria,NA,NA
de5824371_t_2files_merged.pdf,2018,Bavaria,NA,NA
de5824372_t_2files_merged.pdf,2013,Bavaria,NA,NA
de5825301_t_ge_nfin_ffin.pdf,2005,Bavaria,NA,NA
de5828371_t_2files_merged.pdf,2018,Bavaria,NA,NA
de5830371_t_2files_merged.pdf,2018,Bavaria,NA,NA
de5831372_t_2files_merged.pdf,2011,Bavaria,NA,NA
de5831373_t_2files_merged.pdf,2011,Bavaria,NA,NA
de5832371_t_2files_merged.pdf,2009,Bavaria,NA,NA
de5833371_t_2files_merged.pdf,2017,Bavaria,NA,NA
de5835301_t_2files_merged.pdf,2013,Bavaria,NA,NA
de5835302_t_2files_merged.pdf,2008,Bavaria,NA,NA
de5835371_t_2files_merged.pdf,2011,Bavaria,NA,NA
de5837301_t_2files_merged.pdf,2011,Bavaria,NA,NA
de5837302_t_2files_merged.pdf,2010,Bavaria,NA,NA
de5838302_t_2files_merged.pdf,2010,Bavaria,NA,NA
de5838371_t_2files_merged.pdf,2019,Bavaria,NA,NA
de5838372_t_2files_merged.pdf,2019,Bavaria,NA,NA
de5839302_t_2files_merged.pdf,2007,Bavaria,NA,NA
de5920301_t_2files_merged.pdf,2017,Bavaria,NA,NA
de5921301_t_2files_merged.pdf,2017,Bavaria,NA,NA
de5923301_t_2files_merged.pdf,2019,Bavaria,NA,NA
de5923302_t_ge_nfin_ffin.pdf,2004,Bavaria,NA,NA
de5925301_t_2files_merged.pdf,2012,Bavaria,NA,NA
de5927372_t_2files_merged.pdf,2016,Bavaria,NA,NA
de5927471_t_2files_merged.pdf,2016,Bavaria,NA,NA
de5928371_t_2files_merged.pdf,2018,Bavaria,NA,NA
de5929302_t_ge_nfin_ffin.pdf,2005,Bavaria,NA,NA
de5929471_t_ge_nfin_ffin.pdf,2008,Bavaria,NA,NA
de5930302_t_2files_merged.pdf,2016,Bavaria,NA,NA
de5930372_t_2files_merged.pdf,2016,Bavaria,NA,NA
de5931371_t_2files_merged.pdf,2009,Bavaria,NA,NA
de5932371_t_2files_merged.pdf,2019,Bavaria,NA,NA
de5932372_t_2files_merged.pdf,2010,Bavaria,NA,NA
de5933302_t_2files_merged.pdf,2017,Bavaria,NA,NA
de5933371_t_2files_merged.pdf,2018,Bavaria,NA,NA
de5933471_t_2files_merged.pdf,2011,Bavaria,NA,NA
de5934302_t_2files_merged.pdf,2010,Bavaria,NA,NA
de5934371_t_2files_merged.pdf,2018,Bavaria,NA,NA
de5935302_t_2files_merged.pdf,2011,Bavaria,NA,NA
de5935303_t_2files_merged.pdf,2018,Bavaria,NA,NA
de5936301_t_2files_merged.pdf,2004,Bavaria,NA,NA
de5936302_t_2files_merged.pdf,2010,Bavaria,NA,NA
de5936303_t_2files_merged.pdf,2010,Bavaria,NA,NA
de5936371__t2files_merged.pdf,2014,Bavaria,NA,NA
de5937301_t_2files_merged.pdf,2010,Bavaria,NA,NA
de5937304_t_2files_merged.pdf,2012,Bavaria,NA,NA
de5937371_t_2files_merged.pdf,2011,Bavaria,NA,NA
de5937471_t_2files_merged.pdf,2011,Bavaria,NA,NA
de6020301_t_ge_nfin_ffin.pdf,2007,Bavaria,NA,NA
de6021302_t_2files_merged.pdf,2009,Bavaria,NA,NA
de6021371_t_2files_merged.pdf,2009,Bavaria,NA,NA
de6022371_t_2files_merged.pdf,2016,Bavaria,NA,NA
de6022471_t_2files_merged.pdf,2016,Bavaria,NA,NA
de6023301_t_2files_merged.pdf,2017,Bavaria,NA,NA
de6023302_t_ge_nfin_ffin.pdf,2005,Bavaria,NA,NA
de6024301_t_ge_nfin_ffin.pdf,2004,Bavaria,NA,NA
de6024371_t_2files_merged.pdf,2019,Bavaria,NA,NA
de6025371_t_2files_merged.pdf,2014,Bavaria,NA,NA
de6027371_t_2files_merged.pdf,2018,Bavaria,NA,NA
de6028301_t_ge_nfin_ffin.pdf,2005,Bavaria,NA,NA
de6029371_t_2files_merged.pdf,2019,Bavaria,NA,NA
de6029372_t_2files_merged.pdf,2018,Bavaria,NA,NA
de6030302_t_2files_merged.pdf,2019,Bavaria,NA,NA
de6030371_t_2files_merged.pdf,2018,Bavaria,NA,NA
de6032301_t_2files_merged.pdf,2011,Bavaria,NA,NA
de6034301_t_2files_merged.pdf,2010,Bavaria,NA,NA
de6034302_t_2files_merged.pdf,2019,Bavaria,NA,NA
de6034303_t_2files_merged.pdf,2019,Bavaria,NA,NA
de6035302_t_2files_merged.pdf,2009,Bavaria,NA,NA
de6035371_t_2files_merged.pdf,2009,Bavaria,NA,NA
de6035372_t_2files_merged.pdf,2014,Bavaria,NA,NA
de6035373_t_2files_merged.pdf,2016,Bavaria,NA,NA
de6036301_t_2files_merged.pdf,2011,Bavaria,NA,NA
de6037371_t_2files_merged.pdf,2010,Bavaria,NA,NA
de6037372_t_ge_nfin_ffin.pdf,2007,Bavaria,NA,NA
de6039301_t_ge_nfin_ffin.pdf,2009,Bavaria,NA,NA
de6039371_t_2files_merged.pdf,2010,Bavaria,NA,NA
de6039372_t_2files_merged.pdf,2010,Bavaria,NA,NA
de6040371_t_ge_ffin_nfin.pdf,2017,Bavaria,NA,NA
de6121371_t_2files_merged.pdf,2017,Bavaria,NA,NA
de6121372_t_2files_merged.pdf,2017,Bavaria,NA,NA
de6123302_t_2files_merged.pdf,2009,Bavaria,NA,NA
de6123371_t_2files_merged.pdf,2017,Bavaria,NA,NA
de6123372_t_2files_merged.pdf,2018,Bavaria,NA,NA
de6124371_t_2files_merged.pdf,2019,Bavaria,NA,NA
de6124373_t_2files_merged.pdf,2015,Bavaria,NA,NA
de6125301_t_ge_nfin_ffin.pdf,2005,Bavaria,NA,NA
de6126301_t_ge_nfin_ffin.pdf,2003,Bavaria,NA,NA
de6131302_t_2files_merged.pdf,2010,Bavaria,NA,NA
de6131371_t_2files_merged.pdf,2010,Bavaria,NA,NA
de6131372_t_2files_merged.pdf,2016,Bavaria,NA,NA
de6132371_t_2files_merged.pdf,2017,Bavaria,NA,NA
