"","year","sum","event","association","legislation","funding","international","EU","Germany","awareness","research","data system","UN","biodiv","soil","agri","transformation","env","sustain","climate","soil.div","develop","reversely"
"1",1934,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2",1957,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"3",1960,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"4",1962,2,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"5",1965,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6",1974,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"7",1975,2,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"8",1980,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"9",1981,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10",1982,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"11",1985,2,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
"12",1986,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"13",1987,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"14",1990,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"15",1991,3,1,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"16",1992,3,1,0,1,1,0,2,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
"17",1993,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"18",1994,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"19",1997,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"20",1998,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21",1999,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"22",2000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"23",2001,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"24",2002,2,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"25",2003,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"26",2004,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"27",2005,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"28",2006,4,0,0,4,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"29",2007,5,0,0,4,0,0,1,3,0,0,1,1,1,1,1,1,1,0,0,0,0,0
"30",2008,4,0,0,4,0,0,2,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0
"31",2009,7,0,0,6,0,0,7,0,0,0,1,0,0,1,0,3,0,0,3,0,0,0
"32",2010,8,0,0,7,0,1,2,4,1,0,0,1,2,0,2,2,2,0,0,0,0,0
"33",2011,7,0,0,6,1,0,7,0,0,0,0,0,1,0,0,2,2,1,0,1,0,0
"34",2012,5,1,0,3,0,1,2,1,1,0,0,1,0,1,0,2,0,2,0,0,0,0
"35",2013,12,1,0,5,5,0,12,0,0,0,1,0,0,0,3,1,3,1,2,0,2,0
"36",2014,6,0,0,1,2,0,2,3,2,0,1,1,0,1,2,0,1,0,0,1,0,1
"37",2015,10,0,0,4,3,1,1,5,1,0,2,3,0,5,2,0,0,2,1,0,0,0
"38",2016,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"39",2017,2,0,0,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"40",2018,4,0,0,2,1,0,3,1,0,0,1,0,0,0,0,0,2,0,1,1,0,0
"41",2019,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"42",2020,7,1,0,5,0,1,6,0,1,0,0,0,3,0,0,1,0,1,1,1,0,0
"43",2021,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"44",2022,2,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0
