word,translation,category,subcategory,soil.term,regex,definition.according.to.search.engine,reference,review,reviewer
bodenbrut,soil-breeding,biodiversity,aboveground,yes,[a-z]*bodenbrut[a-z]*,,,,OF
bodenfeinde,soil predator,biodiversity,aboveground,yes,[a-z]*bodenfeinde[a-z]*,"Dabei unterscheidet man grundsätzlich zwischen Luftfeinden und Bodenfeinden. Wie der Name schon verrät, schlagen diese entweder aus der Luft oder vom Boden aus zu.",zwerghuhn.info/feinde/,why aboveground?,MJ
bodenflechte,soil lichen,biodiversity,aboveground,yes,[a-z]*bodenflechte[a-z]*,,,,MJ
bodengelege,soil-seated,biodiversity,aboveground,yes,[a-z]*bodengelege[a-z]*,,,,MJ
bodenmoos,soil moss,biodiversity,aboveground,yes,[a-z]*bodenmoos[a-z]*,,,,LS
bodenveg,ground vegetation,biodiversity,aboveground,yes,[a-z]*bodenveg[a-z]*,,,,
bodenvegetation,ground vegetation,biodiversity,aboveground,yes,[a-z]*bodenvegetation[a-z]*,,,,
gliederfuszer,arthropod,biodiversity,aboveground,no,[a-z]*gliederfuszer[a-z]*,,,,
insekten,insects,biodiversity,aboveground,no,[a-z]*insekten[a-z]*,,,,
kafer,beetle,biodiversity,aboveground,no,[a-z]*kafer[a-z]*,,,,
mollusken,molluscs,biodiversity,aboveground,no,[a-z]*mollusken[a-z]*,,,,
oberirdisch,aboveground,biodiversity,aboveground,no,[a-z]*oberirdisch[a-z]*,,,,
pflanzen,plants,biodiversity,aboveground,no,[a-z]*pflanzen[a-z]*,,,,
saugetier,mammals,biodiversity,aboveground,no,[a-z]*saugetier[a-z]*,,,,
spinnen,spiders,biodiversity,aboveground,no,[a-z]*spinnen[a-z]*,,,,
vogel,birds,biodiversity,aboveground,no,[a-z]*vogel[a-z]*,,,,
wanze,bug,biodiversity,aboveground,no,[a-z]*wanze[a-z]*,,,,
ansauern,acidification,threat,acidification,no,[a-z]*ansauern[a-z]*,,,,SC
ansaurung,acidification,threat,acidification,no,[a-z]*ansaurung[a-z]*,,,,SC
bodenaziditat,soil acidity,threat,acidification,yes,[a-z]*bodenaziditat[a-z]*,,,,OF
bodenversauer,soil acidification,threat,acidification,yes,[a-z]*bodenversauer[a-z]*,,,,
entbasung,acidification,threat,acidification,no,[a-z]*entbasung[a-z]*,,,,
phveranderung,pH change,threat,acidification,no,[a-z]*phveranderung[a-z]*,,,,
saurung,acidification,threat,acidification,no,[a-z]*saurung[a-z]*,,,,
versaurung,acidification,threat,acidification,no,[a-z]*versaurung[a-z]*,,,,
acker,field,function,agriculture,no,[a-z]*acker[a-z]*,,,,SC
ackerboden,arable soil,function,agriculture,yes,[a-z]*ackerboden[a-z]*,,,,SC
ackerzahl,soil quality,function,agriculture,no,[a-z]*ackerzahl[a-z]*,,,,SC
agrarboden,arable soil,function,agriculture,yes,[a-z]*agrarboden[a-z]*,,,,SC
agrar,agriculture,function,agriculture,no,[a-z]*agrar[a-z]*,,,,
anzucht,cultivation,function,agriculture,no,[a-z]*anzucht[a-z]*,,,,SC
anzuchtboden,cultivation soil,function,agriculture,yes,[a-z]*anzuchtboden[a-z]*,,,,SC
