Year,Month,Date,Level,Label,Policies,Code,Type,Relevance,Comment,last amended
1899,,,Germany,NABU,Nature and Biodiversity Conservation Union,,association,biodiversity,,
1934,October,16,Germany,SoilEvalAct,Soil Evaluation Act,,legislation,soil,,
1945,October,16,UN,FAO,Food and Agriculture Organization,,association,agriculture,,
1948,October,5,international,IUCN,International Union for Conservation of Nature and Natural Resources,,association,biodiversity,,
1950,,,Germany,,Association for German Nature Conservation (DNR),,association,biodiversity,,
1957,,,Germany,,Federal Water Act,,legislation,transformation,re-enacted 2009 and in force March 2010,18-Dec
1958,November,26,Germany,,Federal Institute for Geo-Sciences and Raw Materials ,,association,transformation,,
1960,,,Germany,,Building Law Code (BauGB),,legislation,transformation,,17-Nov
1961,,,international,,World Wildlife Fund for Nature,,association,biodiversity,WWF,
1962,,,EU,CAP,Common Agricultural Policy,,funding,agriculture,,
1962,,,Germany,DüG,Fertiliser Act,,legislation,transformation,re-enacted 2009,
1965,,,Germany,,Spatial Planning Act,,legislation,transformation,revised in June 2009,17-Jul
1971,,,Germany,,Council of Environmental Advisors (SRU),,association,environment,,
1972,June,5,UN,UNEP,United Nations Environment Program,,association,environment,,
1974,,,Germany,UBA,Federal Environmental Agency,,association,environment,,
1974,,,Germany,BImSchG,Federal Immission Control Act,,legislation,transformation,re-enacted 2013,19-Apr
1975,July,1,international,CITES,Convention on International Trade in Endangered Species of Wild Fauna and Flora,,event,biodiversity,including few beetles in first draft,
1975,July,20,Germany,BUND,Association for the Environment and Nature Conservation,,association,environment,,
1975,,,Germany,,Long Term Soil Monitoring (BDF),,data system,soil,,
1980,,,Germany,,Mining Act (BBergG),,legislation,transformation,,17-Jul
1981,November,,international,WSC,World Soil Charter,Resolution 8/81,legislation,soil,FAO,
1982,June,1,EU,BernCon,Bern Convention on the Conservation of European Wildlife and Natural Habitats,,event,biodiversity,also arthopoda in appendices…,
1985,,,Germany,,German Enironmental Specimen Bank (ESP/ UPB),,data system,biodiversity,including earthworms and soil itself,
1985,June,27,EU,CORINE,Coordination of Information on the Environment (CORINE) Land Cover,,data system,soil,,
1986,June,12,EU,,Sewage Sludge Directive,86/278/EEC,legislation,transformation,,
1986,,,Germany,,Plant Protection Act,EG/1107/2009,legislation,transformation,re-enacted 2012. in-force since Feb 2012. prohibit.  restrict  or  regulate  the  importation  and  exportation  of  any  plants  and  the  soil.  packages.  coverings  or  wrappings,16-Jul
1987,,,Germany,BZE-Forest,National Forest Soil Inventory (BZE),Federal Forest Act §41a,data system,soil,,
1990,December,10,Germany,,Environmental Liability Act (UmweltHG),,legislation,transformation,,17-Jul
1991,November,7,EU,,Alpine Convention,,event,sustainability,,16-Oct
1991,December,12,EU,NitrateD,Nitrates Directive,91/676/EEC,legislation,transformation,,
1991,May,21,EU,,Urban Waste Water Treatment Directive,91/271/EEC,legislation,transformation,,
1992,May,21,EU,Natura2000,Habitats Directive,92/43/EEC,legislation,biodiversity,,
1992,,,Germany,,German Advisory Council on Global Change (WBGU),,association,climate,,
1992,May,9,UN,UNFCCC,United Nations Framework Convention on Climate Change,,event,climate,,
1992,,,EU,LIFE,L’Instrument Financier pour l’Environnement,,funding,environment,,
1992,July,1,Germany,,Sewage Sludge Ordinance (AbfKlärV),,ordinance,transformation,renewed in 2017,20-Jun
1993,December,29,UN,CBD,Convention on Biological Diversity,,event,biodiversity,,
1993,August,15,Germany,BfN,Federal Agency for Nature Conservation,,association,environment,,
1994,June,17,UN,UNCCD,United Nations Convention to Combat Desertification in Those Countries Experiencing Serious Drought and/or Desertification. Particularly in Africa,,event,transformation,,
1995,January,1,Germany,,Federal Office for Agriculture and Food (BLE),,association,agriculture,,
1995,,,Germany,,Federal Soil Association (BVB),,association,soil,awareness raising,
1996,,,Germany,,Fertiliser Application Ordinance  (DüV),,ordinance,transformation,re-enacted 2017,20-May
1997,December,11,UN,,Kyoto Protocol,,legislation,climate,climate target based on UNFCCC,
1998,March,17,Germany,BBodSchG,Federal Soil Protection Act,,legislation,soil,,17-Sep
1998,October,1,Germany,,Organic Waste Ordinance (BioAbfV),,ordinance,transformation,renewed in 2013,17-Oct
1999,July,12,Germany,BBodSchV,Federal Soil Protection and Contaminated Sites Ordinance,,ordinance,soil,,2017
1999,April,26,EU,LandfillD,Landfill Directive,99/31/EC,legislation,transformation,,
2000,October,23,EU,WaterFD,Water Framework Directive,2000/60/EC,legislation,transformation,,
2001,June,27,EU,,Strategic Environmental Assessment (SEA) Directive,2001/42/EC,legislation,environment,,14-Apr
2001,May,15,EU,,Strategy for Sustainability Development,COM/2001/0264,legislation,sustainability,,
2001,October,23,EU,,National Emission Ceiling Directive (NECD),2001/81/EC,legislation,transformation,adopted on 14 Dec 2016,
2002,,,Germany,,Federal Programme for Organic Farming (BÖL),,legislation,agriculture,,
2002,June,15,UN,InitiativeSoilBD,International Initiative for the Conservation and Sustainable Use of Soil Biodiversity,UNEP/CBD/COP/DEC/VIII/23,association,soil diversity,,
2002,,,Germany,,German Sustainable Development Strategy,,legislation,sustainability,renewed in 2016. since than in line with SDGs. e.g. organic farming,20-Sep
2003,,,Germany,,Database for substances relevant to soil protection and the environment (STARS),,data system,soil,,2008
2003,October,13,EU,FertiliserReg,Fertiliser Regulation,EC/2003/2003,legislation,transformation,,
2004,April,21,EU,,Environmental Liability Directive ,2004/35/CE,legislation,transformation,,
2005,,,Germany,SoilOfYear,Soil of the Year,,awareness raising,soil,,
