Year;Month;Date;Level;Label;Policies;Code;Relevance;Comment;last amended
1899;;;Germany;NABU;Nature and Biodiversity Conservation Union;;association;;
1934;October;16;Germany;;Soil Evaluation Act;;;;
1945;October;16;UN;FAO;Food and Agriculture Organization;;association;;
1948;October;5;international;IUCN;International Union for Conservation of Nature and Natural Resources;;association;;
1949;May;6;EU;ESDAC;European Soil Data Centre;;;;
1950;;;Germany;;Association for German Nature Conservation;;association;;
1957;;;Germany;;Federal Water Act;;;re-enacted 2009, in force March 2010;December 2018
1958;November;26;Germany;;Federal Institute for Geo-Sciences and Raw Materials ;;association;;
1961;;;international;WWF;World Wildlife Fund for Nature;;association;;
1962;;;EU;CAP;Common Agricultural Policy;;funding;;
1962;;;Germany;DüG;Fertiliser Act;;;re-enacted 2009;
1965;;;Germany;;Spatial Planning Act;;;revised in June 2009;July 2017
1971;;;Germany;;Council of Environmental Advisors (SRU);;;;
1972;June;5;UN;UNEP;United Nations Environment Program;;association;;
1974;;;Germany;BImSchG;Federal Immission Control Act;;;re-enacted 2013;Apr 19
1974;;;Germany;UBA;Federal Environmental Agency;;association;;
1975;July;1;international;CITES;Convention on International Trade in Endangered Species of Wild Fauna and Flora;;event;;
1975;July;20;Germany;BUND;Association for the Environment and Nature Conservation;;association;;
1975;;;Germany;;Long Term Soil Monitoring (BDF);;;;
1980;;;Germany;BBergG;Mining Act;;;;July 2017
1981;November;;international;WSC;World Soil Charter;Resolution 8/81;;FAO;
1982;June;1;EU;;Bern Convention on the Conservation of European Wildlife and Natural Habitats;;event;;
1985;June;27;EU;;Coordination of Information on the Environment (CORINE) Land Cover;;;;
1985;;;Germany;;German Enironmental Specimen Bank (ESP/ UPB);;;;
1986;June;12;EU;;Sewage Sludge Directive;86/278/EEC;;;
1986;;;Germany;;Plant Protection Act;EG/1107/2009;;re-enacted 2012, n-force since Feb 2012;July 2016
1987;;;Germany;;National Forest Soil Inventory (BZE);Federal Forest Act §41a;;;
1990;December;10;Germany;UmweltHG;Environmental Liability Act;;;;July 2017
1991;May;21;EU;;Urban Waste Water Treatment Directive;91/271/EEC;;;
1991;November;7;EU;;Alpine Convention;;event;;Octoer 2016
1991;December;12;EU;;Nitrates Directive;91/676/EEC;;;
1992;May;9;UN;UNFCCC;United Nations Framework Convention on Climate Change;;event;;
